message;severity;node;stamp;location
"Oh no! I hit the wall! (Clamping from [x=-0.031619, y=2.517382])";"30";"turtlesim3.sim";"1758265775.607146487";"/home/gleb/ros2_jazzy/src/ros/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=-0.031619, y=2.512461])";"30";"turtlesim3.sim";"1758265775.590641362";"/home/gleb/ros2_jazzy/src/ros/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=-0.031619, y=2.507539])";"30";"turtlesim3.sim";"1758265775.575147730";"/home/gleb/ros2_jazzy/src/ros/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=-0.031619, y=2.502618])";"30";"turtlesim3.sim";"1758265775.559488808";"/home/gleb/ros2_jazzy/src/ros/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=-0.031619, y=2.497696])";"30";"turtlesim3.sim";"1758265775.543307532";"/home/gleb/ros2_jazzy/src/ros/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=-0.031619, y=2.517382])";"30";"turtlesim2.sim";"1758265775.538506856";"/home/gleb/ros2_jazzy/src/ros/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=-0.031619, y=2.492775])";"30";"turtlesim3.sim";"1758265775.527514313";"/home/gleb/ros2_jazzy/src/ros/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=-0.031619, y=2.512461])";"30";"turtlesim2.sim";"1758265775.523142348";"/home/gleb/ros2_jazzy/src/ros/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=-0.031619, y=2.533944])";"30";"turtlesim1.sim";"1758265775.516022851";"/home/gleb/ros2_jazzy/src/ros/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=-0.031619, y=2.487853])";"30";"turtlesim3.sim";"1758265775.511013477";"/home/gleb/ros2_jazzy/src/ros/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
